#id,screen_name,friends_count,followers_count,favourites_count,statuses_count,name,Following
93494670,ProbFact,13,24150,11,1515,Probability Fact,
363210621,UnixToolTip,14,16060,11,924,Unix tool tip,
109958517,AlgebraFact,13,31059,23,1929,Algebra Fact,
397987145,RobStuttaford,93,129,1,880,Robert Stuttaford,
71751586,97TEPSK,0,1736,0,278,97 Things,
220145170,CompSciFact,13,66527,44,2054,Computer Science ,
16569802,webyrd,302,644,8,970,William Byrd,
2955981,mikera,89,173,0,333,Mike,
101747568,fisfreestyle,173,1126,8,2653,fisfreestyle,
69273531,DamienCassou,87,258,8,250,Damien Cassou,
474065166,GuilbautColas,35,187,0,103,guilbaut colas,
41776029,skimagazine,527,7674,13,339,Ski Magazine,
57720206,skimagonline,900,21333,84,1291,SKI Magazine,
424907929,CCertainsVivent,112,506,6,1628,Comment Certains Viv,
40270600,alandipert,348,843,12,2082,Alan,Yes
2933441,kovasb,356,385,976,249,Kovas Boguta,
1176478717,rzepkaam,75,14,168,20,Amanda Rzepka,Yes
38463707,Skiingmag,1218,23112,364,2670,Skiing Magazine,
63041755,momentumcamps,830,1848,243,1022,Momentum Ski Camps,
41817558,ericnormand,571,535,1,2867,Eric Normand,Yes
49820803,aphyr,125,2035,1641,10162,Aphyr,
326912209,udacity,220,49131,85,1665,Udacity,
410939902,headinthebox,0,2923,212,1149,Erik Meijer,
152862026,EdwardTufte,488,27099,7,911,Edward Tufte,
75741402,disclojure,105,1708,7,1099,disclojure.org,
77062104,nadamin,109,347,96,130,Nada Amin,
18991645,danielglauser,750,708,760,7320,Daniel Glauser,
43593,mbostock,228,9686,277,3359,Mike Bostock,
362585949,OpendataCH,1038,1220,59,703,Opendata.ch,
43196837,thinkrelevance,4,1607,1,240,Relevance,
14094468,al3xandru,585,7272,3478,18495,Alex Popescu,
29086980,liebke,313,1385,0,752,David Edgar Liebke,
189913273,RogerAllen,83,33,95,247,Roger Allen,Yes
17267503,78s,48,1397,7,4869,78s,
241098365,sfertig,23,7,1,1,sfertig,Yes
12944042,ivanjovanovic,246,307,36,446,Ivan Jovanovic,Yes
465483234,pschaus,159,123,9,336,Pierre Schaus,
752673,jeresig,1407,106470,83,4099,John Resig,
224632131,Baranosky,505,394,21,5177,Alex Baranosky,
580852153,SwissBigData,30,194,0,219,Big Data User Group,
33313966,goodforyourears,1,451,0,607,bonpourlesoreilles,
18806190,darevay,236,480,504,3346,Dave Ray,
167169119,strataconf,1106,11495,50,2288,O'Reilly Strata,
458647237,DataKind,64,5341,142,898,DataKind,
141659077,functionaljobs,529,2483,3,327,Functional Jobs,
5662932,mikaelhuss,255,283,3,1045,Mikael Huss,Yes
751427652,MostlyLazy,1,323,0,23,Mostly λazy,
169191861,techupch,2,757,0,28,techup,
14706299,linuxfoundation,10040,87105,84,5206,The Linux Foundation,
91333167,climagic,8985,37771,30,6148,Command Line Magic,
24736901,teddy777,29761,28485,31,3129,Theodore Angelus,Yes
12470412,brehaut,164,280,454,2385,Andrew Brehaut,
229709694,Prismatic,3169,40937,79536,7536,Prismatic,Yes
15096652,mtnygard,490,3605,17,6496,Michael Nygard,
21661279,CreativeReview,7405,774074,3,10840,Creative Review,
19826509,openculture,571,123282,11,18327,Open Culture,
